transaction_id,customer_id,customer_email,customer_name,customer_gender,customer_age,customer_phone,customer_street1,customer_street2,customer_city,customer_state,customer_zip,customer_country,customer_lat,customer_long,customer_creditcard_account_no,service_id,service_name,service_category_super,service_category_sub,service_rate,service_provider_id,service_provider_email,service_provider_name,service_provider_gender,service_provider_age,service_provider_phone,service_provider_street1,service_provider_street2,service_provider_city,service_provider_state,service_provider_zip,service_provider_country,service_provider_lat,service_provider_long,service_hours,service_total_amount,booking_date,service_date,actual_service_date,transaction_status,service_status,is_cancelled,is_delivered_on_time
12,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,19,"service 16",moving,"packers and movers",32,deepak8,d8@xyz.com,"deepak yadav 8",f,67,1234567890,"2251 S Michigan Ave",456,chicago,illinois,60616,"United States",41.8514378,-87.6230742,4,128,12/05/2020,12/05/2020,12/06/2020,approved,accepted,0,0
13,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,38,"service 35",appliances,chimney,20,deepak18,d18@xyz.com,"deepak yadav 18",f,76,1234567890,"7200 S Cicero Ave",13,chicago,illinois,60629,"United States",41.7627181,-87.7459841,3,60,12/05/2020,12/10/2020,12/11/2020,approved,accepted,0,0
14,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,7,"service 4",cleaning,bathroom,34,deepak2,d2@xyz.com,"deepak yadav 2",m,24,1234567890,"2951 south king drive","apt 110",chicago,illinois,60616,"United States",41.8404099,-87.6164229,3,102,12/05/2020,12/10/2020,12/10/2020,disputed,accepted,0,1
15,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,24,"service 21",carpenter,"furniture repair",22,deepak11,d11@xyz.com,"deepak yadav 11",m,76,1234567890,"1334 W 18th St",125,chicago,illinois,60616,"United States",41.8580717,-87.6602118,2,44,12/05/2020,,,disputed,pending,1,0
16,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,10,"service 7",plumbing,"drain repair",22,deepak4,d4@xyz.com,"deepak yadav 4",f,30,1234567890,"2851 south king drive","apt 909",chicago,illinois,60616,"United States",41.8425894,-87.616469,2,44,12/05/2020,,,disputed,pending,0,0
17,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,29,"service 26",painting,"wall painting",34,deepak13,d13@xyz.com,"deepak yadav 13",f,22,1234567890,"3922 S Wells St",78,chicago,illinois,60609,"United States",41.8229331,-87.6328686,5,170,12/05/2020,12/08/2020,12/08/2020,approved,accepted,0,1
18,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,47,"service 44",plumbing,"toilet repair",25,deepak22,d22@xyz.com,"deepak yadav 22",f,73,1234567890,"1016 W Jackson Blvd",#37,chicago,illinois,60607,"United States",41.8780255,-87.6527575,7,175,12/05/2020,12/13/2020,12/13/2020,approved,accepted,0,1
19,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,19,"service 16",moving,"packers and movers",32,deepak8,d8@xyz.com,"deepak yadav 8",f,67,1234567890,"2251 S Michigan Ave",456,chicago,illinois,60616,"United States",41.8514378,-87.6230742,4,128,12/05/2020,12/08/2020,12/09/2020,approved,accepted,0,0
20,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,4,92,12/05/2020,,,disputed,rejected,0,0
21,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,10,"service 7",plumbing,"drain repair",22,deepak4,d4@xyz.com,"deepak yadav 4",f,30,1234567890,"2851 south king drive","apt 909",chicago,illinois,60616,"United States",41.8425894,-87.616469,2,44,12/05/2020,,,approved,pending,0,0
22,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,59,"service 56",carpenter,"furniture repair",26,deepak28,d28@xyz.com,"deepak yadav 28",f,47,1234567890,"2501 W Washington Blvd","Suite 301",chicago,illinois,60612,"United States",41.8827908,-87.6888856,5,130,12/05/2020,12/09/2020,12/10/2020,approved,accepted,0,0
23,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,27,"service 24",carpenter,"wood polishing",30,deepak12,d12@xyz.com,"deepak yadav 12",f,43,1234567890,"3320 S Halsted St",345,chicago,illinois,60608,"United States",41.8341764,-87.6464284,1,30,12/05/2020,12/10/2020,12/11/2020,approved,accepted,0,0
24,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,44,"service 41",cleaning,workplace,34,deepak21,d21@xyz.com,"deepak yadav 21",f,64,1234567890,"1563 N Wells St",79,chicago,illinois,60610,"United States",41.910999,-87.634567,8,272,12/05/2020,12/10/2020,12/11/2020,approved,accepted,0,0
25,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,30,"service 27",painting,"furniture painting",34,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,5,170,12/05/2020,12/07/2020,12/07/2020,approved,accepted,0,1
26,yash3,y3@gmail.com,yash3,m,32,263748910,"1959 N Sheffield Ave",32,Chicago,Illinois,60614,"United States",41.9175834,-87.6531227,437829301,31,"service 28",appliances,"air condition",35,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,4,140,12/05/2020,,,disputed,pending,1,0
27,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,19,"service 16",moving,"packers and movers",32,deepak8,d8@xyz.com,"deepak yadav 8",f,67,1234567890,"2251 S Michigan Ave",456,chicago,illinois,60616,"United States",41.8514378,-87.6230742,2,64,12/05/2020,,,disputed,rejected,0,0
28,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,2,46,12/05/2020,12/05/2020,12/05/2020,approved,accepted,0,1
29,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,20,"service 17",electrics,"new wiring",32,deepak9,d9@xyz.com,"deepak yadav 9",f,34,1234567890,"238 W Cermak Rd",123,chicago,illinois,60616,"United States",41.8530414,-87.6333303,2,64,12/05/2020,,,disputed,rejected,0,0
30,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,7,"service 4",cleaning,bathroom,34,deepak2,d2@xyz.com,"deepak yadav 2",m,24,1234567890,"2951 south king drive","apt 110",chicago,illinois,60616,"United States",41.8404099,-87.6164229,2,68,12/05/2020,,,disputed,rejected,0,0
31,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,24,"service 21",carpenter,"furniture repair",22,deepak11,d11@xyz.com,"deepak yadav 11",m,76,1234567890,"1334 W 18th St",125,chicago,illinois,60616,"United States",41.8580717,-87.6602118,5,110,12/05/2020,,,approved,rejected,0,0
32,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,28,"service 25",carpenter,"customize furniture",23,deepak13,d13@xyz.com,"deepak yadav 13",f,22,1234567890,"3922 S Wells St",78,chicago,illinois,60609,"United States",41.8229331,-87.6328686,6,138,12/05/2020,,,approved,rejected,0,0
33,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,29,"service 26",painting,"wall painting",34,deepak13,d13@xyz.com,"deepak yadav 13",f,22,1234567890,"3922 S Wells St",78,chicago,illinois,60609,"United States",41.8229331,-87.6328686,3,102,12/05/2020,12/05/2020,12/05/2020,approved,accepted,0,1
34,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,13,"service 10",plumbing,"plumbing service",25,deepak5,d5@xyz.com,"deepak yadav 5",m,45,1234567890,"215 E 31st St",567,chicago,illinois,60616,"United States",41.8381842,-87.6211659,1,25,12/05/2020,,,disputed,rejected,0,0
35,yash4,y4@gmail.com,yash4,m,21,73489201,"906 E 54th St",15,Chicago,Illinois,60615,"United States",41.7980368,-87.603498,47389211,31,"service 28",appliances,"air condition",35,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,5,175,12/05/2020,12/08/2020,12/08/2020,disputed,accepted,0,1
36,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,16,"service 13","pest control",ants,25,deepak7,d7@xyz.com,"deepak yadav 7",f,56,1234567890,"2929 S Wabash","Ave #202",chicago,illinois,60616,"United States",41.8409592,-87.6248837,4,100,12/05/2020,12/11/2020,12/12/2020,approved,accepted,0,0
37,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,34,"service 31",appliances,"washing machine",28,deepak16,d16@xyz.com,"deepak yadav 16",f,67,1234567890,"6639 S Pulaski Rd",859,chicago,illinois,60629,"United States",41.7719179,-87.7222257,2,56,12/05/2020,12/06/2020,12/07/2020,disputed,accepted,0,0
38,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,18,"service 15","pest control",mosquito,32,deepak8,d8@xyz.com,"deepak yadav 8",f,67,1234567890,"2251 S Michigan Ave",456,chicago,illinois,60616,"United States",41.8514378,-87.6230742,3,96,12/05/2020,12/13/2020,12/14/2020,approved,accepted,0,0
39,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,6,"service 3",cleaning,bedroom,23,deepak2,d2@xyz.com,"deepak yadav 2",m,24,1234567890,"2951 south king drive","apt 110",chicago,illinois,60616,"United States",41.8404099,-87.6164229,4,92,12/05/2020,12/06/2020,12/07/2020,disputed,accepted,0,0
40,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,23,"service 20",electrics,"repair or fixes",32,deepak10,d10@xyz.com,"deepak yadav 10",f,53,1234567890,"1100 W Cermak Rd",#116,chicago,illinois,60616,"United States",41.8527225,-87.6537184,4,128,12/05/2020,12/06/2020,12/06/2020,disputed,accepted,0,1
41,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,8,"service 5",cleaning,"living room",10,deepak3,d3@xyz.com,"deepak yadav 3",f,28,1234567890,"2801 south king drive","apt 1117",chicago,illinois,60616,"United States",41.8437077,-87.6165023,1,10,12/05/2020,,,approved,pending,1,0
42,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,25,"service 22",carpenter,"furniture assemble",34,deepak11,d11@xyz.com,"deepak yadav 11",m,76,1234567890,"1334 W 18th St",125,chicago,illinois,60616,"United States",41.8580717,-87.6602118,1,34,12/05/2020,12/11/2020,12/12/2020,disputed,accepted,0,0
43,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,12,"service 9",plumbing,"toilet repair",23,deepak5,d5@xyz.com,"deepak yadav 5",m,45,1234567890,"215 E 31st St",567,chicago,illinois,60616,"United States",41.8381842,-87.6211659,4,92,12/05/2020,,,disputed,rejected,0,0
44,yash5,y5@gmail.com,yash5,m,42,75384902,"7700 S Sangamon St",4602,Chicago,IL,60620,"United States",41.7540901,-87.6480355,57843920,30,"service 27",painting,"furniture painting",34,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,4,136,12/05/2020,,,approved,rejected,0,0
45,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,50,"service 47","pest control","bed bugs",25,deepak24,d24@xyz.com,"deepak yadav 24",f,53,1234567890,"205 W Randolph St",#900,chicago,illinois,60606,"United States",41.8839253,-87.6341816,4,100,12/05/2020,12/08/2020,12/09/2020,disputed,accepted,0,0
46,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,51,"service 48","pest control",ants,34,deepak24,d24@xyz.com,"deepak yadav 24",f,53,1234567890,"205 W Randolph St",#900,chicago,illinois,60606,"United States",41.8839253,-87.6341816,2,68,12/05/2020,12/06/2020,12/07/2020,approved,accepted,0,0
47,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,3,69,12/05/2020,,,approved,pending,1,0
48,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,56,"service 53",electrics,"break down",22,deepak27,d27@xyz.com,"deepak yadav 27",f,76,1234567890,"980 N Michigan Ave",#900,chicago,illinois,60611,"United States",41.900629,-87.6244518,2,44,12/05/2020,12/16/2020,12/16/2020,disputed,accepted,0,1
49,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,42,"service 39",cleaning,bathroom,29,deepak20,d20@xyz.com,"deepak yadav 20",f,65,1234567890,"1928 W Fulton st","UNIT 2N",chicago,illinois,60612,"United States",41.8870152,-87.6755672,2,58,12/05/2020,12/10/2020,12/11/2020,disputed,accepted,0,0
50,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,45,"service 42",plumbing,"drain repair",36,deepak21,d21@xyz.com,"deepak yadav 21",f,64,1234567890,"1563 N Wells St",79,chicago,illinois,60610,"United States",41.910999,-87.634567,3,108,12/05/2020,12/06/2020,12/06/2020,disputed,accepted,0,1
51,yash6,y6@gmail.com,yash6,m,43,743829,"1031 N Riverwalk St,",12,chicago,IL,60610,"United States",41.9003749,-87.645957,4738239,31,"service 28",appliances,"air condition",35,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,1,35,12/05/2020,12/08/2020,12/09/2020,approved,accepted,0,0
52,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,32,"service 29",appliances,microwave,30,deepak15,d15@xyz.com,"deepak yadav 15",f,57,1234567890,"2803 S Cicero Ave",345,chicago,illinois,60804,"United States",41.841408,-87.7411616,4,120,12/05/2020,12/07/2020,12/08/2020,approved,accepted,0,0
53,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,50,"service 47","pest control","bed bugs",25,deepak24,d24@xyz.com,"deepak yadav 24",f,53,1234567890,"205 W Randolph St",#900,chicago,illinois,60606,"United States",41.8839253,-87.6341816,3,75,12/05/2020,,,disputed,rejected,0,0
54,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,2,46,12/05/2020,12/08/2020,12/09/2020,disputed,accepted,0,0
55,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,54,"service 51",moving,"packers and movers",30,deepak26,d26@xyz.com,"deepak yadav 26",m,45,1234567890,"1300 S Wabash Ave",#200,chicago,illinois,60605,"United States",41.8656129,-87.6261433,1,30,12/05/2020,12/09/2020,12/09/2020,approved,accepted,0,1
56,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,56,"service 53",electrics,"break down",22,deepak27,d27@xyz.com,"deepak yadav 27",f,76,1234567890,"980 N Michigan Ave",#900,chicago,illinois,60611,"United States",41.900629,-87.6244518,5,110,12/05/2020,,,disputed,rejected,0,0
57,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,27,"service 24",carpenter,"wood polishing",30,deepak12,d12@xyz.com,"deepak yadav 12",f,43,1234567890,"3320 S Halsted St",345,chicago,illinois,60608,"United States",41.8341764,-87.6464284,4,120,12/05/2020,,,disputed,pending,1,0
58,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,45,"service 42",plumbing,"drain repair",36,deepak21,d21@xyz.com,"deepak yadav 21",f,64,1234567890,"1563 N Wells St",79,chicago,illinois,60610,"United States",41.910999,-87.634567,2,72,12/05/2020,,,approved,rejected,0,0
59,yash7,y7@gmail.com,yash7,m,23,4673289,"614 N Paulina St",20,Chicago,IL,60622,"United States",41.8929675,-87.6697129,473829,30,"service 27",painting,"furniture painting",34,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,5,170,12/05/2020,12/06/2020,12/07/2020,disputed,accepted,0,0
60,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,49,"service 46","pest control",cockroach,35,deepak23,d23@xyz.com,"deepak yadav 23",m,52,1234567890,"2120 W Washington Blvd",67,chicago,illinois,60612,"United States",41.8833904,-87.6801106,2,70,12/05/2020,12/07/2020,12/07/2020,disputed,accepted,0,1
61,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,3,69,12/05/2020,12/06/2020,12/06/2020,approved,accepted,0,1
62,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,5,"service 2",cleaning,kitchen,12,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,5,60,12/05/2020,,,disputed,pending,1,0
63,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,38,"service 35",appliances,chimney,20,deepak18,d18@xyz.com,"deepak yadav 18",f,76,1234567890,"7200 S Cicero Ave",13,chicago,illinois,60629,"United States",41.7627181,-87.7459841,5,100,12/05/2020,12/08/2020,12/09/2020,approved,accepted,0,0
64,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,25,"service 22",carpenter,"furniture assemble",34,deepak11,d11@xyz.com,"deepak yadav 11",m,76,1234567890,"1334 W 18th St",125,chicago,illinois,60616,"United States",41.8580717,-87.6602118,6,204,12/05/2020,12/10/2020,12/11/2020,approved,accepted,0,0
65,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,42,"service 39",cleaning,bathroom,29,deepak20,d20@xyz.com,"deepak yadav 20",f,65,1234567890,"1928 W Fulton st","UNIT 2N",chicago,illinois,60612,"United States",41.8870152,-87.6755672,2,58,12/05/2020,,,disputed,rejected,0,0
66,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,11,"service 8",plumbing,"sink replace",23,deepak4,d4@xyz.com,"deepak yadav 4",f,30,1234567890,"2851 south king drive","apt 909",chicago,illinois,60616,"United States",41.8425894,-87.616469,1,23,12/05/2020,,,disputed,pending,0,0
67,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,27,"service 24",carpenter,"wood polishing",30,deepak12,d12@xyz.com,"deepak yadav 12",f,43,1234567890,"3320 S Halsted St",345,chicago,illinois,60608,"United States",41.8341764,-87.6464284,5,150,12/05/2020,12/07/2020,12/07/2020,disputed,accepted,0,1
